"Gender","Age","Induction","Content1","Calm1","Energetic1","Empowered1","Sad1","Frustrated1","Vigilant1","Bored1","Serene1","Unhappy1","SelfAssured1","Vulnerable1","Stressed1","Surprised1","InControl1","Active1","Depressed1","Unconcerned1","Nervous1","Enthusiastic1","Relaxed1","Anxious1","Overwhelmed1","Helpless1","AtEase1","Confident1","Angry1","Scared1","Satisfied1","Disheartened1","Upset1","Passive1","Panicked1","Asleep1","Happy1","Elated1","Joyful1","Insecure1","Tense1","Aggressive1","Content2","Calm2","Energetic2","Empowered2","Sad2","Frustrated2","Vigilant2","Bored2","Serene2","Unhappy2","SelfAssured2","Vulnerable2","Stressed2","Surprised2","InControl2","Active2","Depressed2","Unconcerned2","Nervous2","Enthusiastic2","Relaxed2","Anxious2","Overwhelmed2","Helpless2","AtEase2","Confident2","Angry2","Scared2","Satisfied2","Disheartened2","Upset2","Passive2","Panicked2","Asleep2","Happy2","Elated2","Joyful2","Insecure2","Tense2","Aggressive2"
"F","21","Angry","52",10,81,0,0,0,11,0,19,0,22,1,44,15,9,79,9,0,49,44,15,45,0,0,18,30,0,0,35,0,0,0,0,0,44,0,33,0,27,0,55,0,90,0,0,0,0,0,38,0,0,0,25,63,0,72,0,0,25,45,31,15,0,0,36,45,0,0,0,0,0,0,0,0,45,0,40,0,0,0
"M","25","Angry","67",74,82,20,30,4,59,10,70,3,54,66,34,38,74,62,12,9,57,88,22,59,26,4,30,70,2,3,36,25,7,3,3,18,79,31,52,30,37,6,61,78,82,28,13,6,65,3,72,3,53,42,12,33,60,72,9,5,68,79,20,31,7,7,28,64,5,4,38,15,5,17,6,5,85,58,77,37,14,1
"F","18","Angry","66",71,54,7,65,7,64,7,50,55,29,41,74,12,75,76,65,9,57,66,53,29,56,11,32,36,6,16,48,51,12,13,39,25,28,19,11,87,22,5,18,18,38,5,46,11,59,3,26,42,14,46,63,33,21,45,65,6,24,14,15,38,27,10,31,12,23,23,10,15,23,16,12,18,35,9,6,31,30,8
"F","19","Angry","76",23,73,1,15,2,2,7,79,0,44,1,65,2,76,39,7,0,24,35,19,49,14,0,2,54,0,57,39,3,7,0,4,12,88,17,82,0,25,0,31,5,9,3,5,8,6,3,3,0,1,4,15,10,1,3,9,2,12,17,2,51,4,4,2,48,0,7,2,1,33,3,5,9,62,7,44,2,19,0
"F","19","Angry","47",55,23,5,7,9,52,3,11,0,53,0,37,16,69,3,7,45,29,30,64,17,10,0,45,11,0,0,28,0,55,29,0,79,45,72,14,44,0,12,33,6,30,16,17,15,49,27,3,5,57,0,41,45,51,32,17,0,40,53,0,31,3,9,10,9,13,0,27,0,16,12,0,61,38,18,15,0,46,29
"F","20","Angry","70",76,68,3,12,22,82,3,51,11,9,23,53,32,77,74,12,3,66,75,31,54,28,5,34,5,1,10,12,6,7,9,19,22,47,45,50,55,54,3,31,36,70,9,23,41,72,9,24,29,13,23,64,39,17,66,40,12,70,16,37,37,35,33,18,7,60,10,11,54,63,12,30,12,47,17,30,15,64,34
"M","29","Angry","82",74,82,48,23,0,64,0,71,0,50,0,33,16,65,64,8,0,20,53,70,5,18,0,61,56,0,0,21,0,0,0,0,0,48,0,46,0,0,0,68,16,46,20,52,8,14,0,5,0,32,5,28,23,11,5,20,0,28,0,0,6,9,15,5,7,7,0,0,0,8,5,8,0,4,0,7,0,9,0
"F","19","Angry","71",100,45,21,0,0,14,0,44,0,57,0,0,0,44,76,3,0,0,76,100,0,0,0,100,70,0,0,78,0,0,0,0,5,71,0,71,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,82,0,0,91,0,0,0,78,0,0,0,0,0,0,0,70,0
"F","19","Angry","60",80,65,0,15,0,70,0,75,0,50,30,15,70,50,10,5,5,15,20,55,20,0,0,70,55,0,0,50,0,0,10,0,0,50,0,60,0,20,0,25,40,35,0,10,0,25,0,30,0,30,5,20,40,15,5,0,0,0,0,10,20,5,0,15,25,5,0,10,0,5,5,0,0,39,0,20,5,15,0
"F","20","Angry","73",60,78,20,15,5,45,0,20,10,20,0,45,0,20,20,10,30,40,15,25,35,10,5,10,15,0,0,15,0,0,0,10,15,50,20,69,10,30,0,50,20,10,10,20,70,25,0,10,45,10,65,50,15,20,0,35,0,40,10,30,62,26,35,14,20,50,25,5,25,45,10,30,0,25,0,35,30,30,20
